ID,university names,country code,address
1,New York University,USA,"New York, NY 10003, United States"
2,Princeton University,USA,"Princeton, NJ 08544, United States"
3,Stanford University,USA,"450 Serra Mall, Stanford, CA 94305, United States"
4,"University of Wisconsin, Madison",USA,"Madison, WI 53706, United States"
5,Cornell University,USA,"Ithaca, NY 14850, United States"
6,Carnegie Mellon University,USA,"5000 Forbes Ave, Pittsburgh, PA 15213, United States"
7,Massachusetts Institute of Technology,USA,"77 Massachusetts Ave, Cambridge, MA 02139, United States"
8,University of North Carolina at Chapel Hill,USA,"Chapel Hill, NC, United States"
9,University of Texas at Austin,USA,"Austin, TX 78712, United States"
10,"University of California, San Diego",USA,"9500 Gilman Dr, La Jolla, CA 92093, United States"
11,University of Washington,USA,"16192 Coastal Hwy, Lewes, DE 19958, United States"
12,"Binghamton University, State University of New York",USA,"4400 Vestal Pkwy E, Binghamton, NY 13902, United States"
13,"University of California, Los Angeles",USA,"Los Angeles, CA 90095, United States"
14,Columbia University,USA,"116th St & Broadway, New York, NY 10027, United States"
15,Rice University,USA,"6100 Main St, Houston, TX 77005, United States"
16,Johns Hopkins University,USA,"Baltimore, MD 21218, United States"
17,"University of California, Riverside",USA,"900 University Ave, Riverside, CA 92521, United States"
18,"University of Michigan, Ann Arbor",USA,"500 S State St, Ann Arbor, MI 48109, United States"
19,University of Southern California,USA,"Los Angeles, CA 90007, United States"
20,University of Chicago,USA,"5801 S Ellis Ave, Chicago, IL 60637, United States"
21,University of Massachusetts,USA,"Amherst, MA 01003, United States"
22,Harvard University,USA,"Cambridge, MA, United States"
23,California Institute of Technology,USA,"1200 E California Blvd, Pasadena, CA 91125, United States"
24,Brown University,USA,"Providence, RI 02912, United States"
25,West Virginia University,USA,"Morgantown, WV 26506, United States"
26,University of Illinois at Urbana-Champaign,USA,"Champaign, IL, United States"
27,Washington State University,USA,"Pullman, WA, United States"
28,"University of Maryland, College Park",USA,"College Park, MD 20742, United States"
29,"University of California, Santa Barbara",USA,"Santa Barbara, CA 93106, United States"
30,Yale University,USA,"New Haven, CT 06520, United States"
31,New Jersey Institute of Technology,USA,"323 Dr M.L.K. Jr. Blvd, Newark, NJ 07102, United States"
32,University of Virginia,USA,"Charlottesville, VA, United States"
33,Georgia Institute of Technology,USA,"North Ave NW, Atlanta, GA 30332, United States"
34,Michigan State University,USA,"220 Trowbridge Rd, East Lansing, MI 48824, United States"
35,University of Pennsylvania,USA,"Philadelphia, PA 19104, United States"
36,"University of California, Irvine",USA,"Irvine, CA 92697, United States"
37,Stony Brook University,USA,"100 Nicolls Rd, Stony Brook, NY 11794, United States"
38,Temple University,USA,"1801 N Broad St, Philadelphia, PA 19122, United States"
