,ID,university names,country code,Region
0,1,New York University,US,New York
1,2,Princeton University,US,
2,3,Stanford University,US,California
3,4,"University of Wisconsin, Madison",US,
4,5,Cornell University,US,
5,6,Carnegie Mellon University,US,
6,7,Massachusetts Institute of Technology,US,
7,8,University of North Carolina at Chapel Hill,US,
8,9,University of Texas at Austin,US,
9,10,"University of California, San Diego",US,
10,11,University of Washington,US,
11,12,"Binghamton University, State University of New York",US,
12,13,"University of California, Los Angeles",US,California
13,14,Columbia University,US,
14,15,Rice University,US,
15,16,Johns Hopkins University,US,
16,17,"University of California, Riverside",US,
17,18,"University of Michigan, Ann Arbor",US,
18,19,University of Southern California,US,California
19,20,University of Chicago,US,
20,21,University of Massachusetts,US,
21,22,Harvard University,US,
22,23,California Institute of Technology,US,
23,24,Brown University,US,Rhode Island
24,25,West Virginia University,US,
25,26,University of Illinois at Urbana-Champaign,US,
26,27,Washington State University,US,
27,28,"University of Maryland, College Park",US,
28,29,"University of California, Santa Barbara",US,
29,30,Yale University,US,
30,31,New Jersey Institute of Technology,US,
31,32,University of Virginia,US,
32,33,Georgia Institute of Technology,US,Georgia
33,34,Michigan State University,US,
34,35,University of Pennsylvania,US,
35,36,"University of California, Irvine",US,
36,37,Stony Brook University,US,
37,38,Temple University,US,
38,39,Arizona State University,US,
39,40,Boston University,US,Massachusetts
40,41,"Rutgers, the State University of New Jersey",US,
41,42,University of Texas at San Antonio,US,
42,43,University of Minnesota Twin Cities,US,
43,44,"Northeastern University, Boston, MA",US,Massachusetts
44,45,University of Rochester,US,
45,46,University at Buffalo,US,New York
46,47,Lehigh University,US,
47,48,Duke University,US,North Carolina
48,49,Ohio State University,US,
49,50,Stevens Institute of Technology,US,
50,51,"University of California, Santa Cruz",US,
51,52,Washington University in St Louis,US,
52,53,Pennsylvania State University,US,
53,54,Virginia Polytechnic Institute and State University,US,
54,55,Georgia State University,US,Georgia
55,56,University of Colorado Boulder,US,
56,57,Dartmouth College,US,
57,58,Old Dominion University,US,Virginia
58,59,University of Pittsburgh-Pittsburgh campus,US,
59,60,Florida International University,US,
60,61,University of Utah,US,
61,62,Wayne State University,US,
62,63,University of Notre Dame,US,
63,64,Vanderbilt University,US,
64,65,North Carolina State University,US,
65,66,University of Illinois at Chicago,US,
66,67,University of Texas at Dallas,US,Texas
67,68,Syracuse University,US,
68,69,University of Florida,US,
69,70,Worcester Polytechnic Institute,US,
70,71,Missouri University of Science and Technology,US,
71,72,Indiana University,US,
72,73,State University of New York Albany,US,
73,74,University of Arizona,US,Arizona
74,75,University of Nebraska-Lincoln,US,
75,76,University of Delaware,US,
76,77,Florida Atlantic University,US,
77,78,George Washington University,US,
78,79,Oklahoma State University,US,
79,80,University of Alabama,US,
80,81,University of Texas at Arlington,US,
81,82,University of Houston,US,
82,83,"University of Maryland, Baltimore County",US,
83,84,University of Arkansas,US,Arkansas
84,85,Florida State University,US,Florida
85,86,Texas A&M University,US,
86,87,University of Georgia,US,
87,88,University of Hawai’i at Mānoa,US,
88,89,San Diego State University,US,
89,90,Rensselaer Polytechnic Institute,US,
90,91,Colorado State University,US,
91,92,University of Kentucky,US,
92,93,University of Connecticut,US,
93,94,Iowa State University,US,
94,95,University of South Florida,US,
95,96,University of Central Florida,US,
96,97,Mississippi State University,US,Mississippi
97,98,George Mason University,US,
98,99,"University of Wisconsin, Milwaukee",US,
99,100,Tufts University,US,
100,101,University of Cincinnati,US,
101,102,Oregon State University,US,
102,103,Texas Tech University,US,
103,104,"University of Nevada, Las Vegas",US,
104,105,Louisiana State University,US,Louisiana
105,106,Drexel University,US,
