ID,university names,country code
1,New York University,USA
2,Princeton University,USA
3,Stanford University,USA
4,"University of Wisconsin, Madison",USA
5,Cornell University,USA
6,Carnegie Mellon University,USA
7,Massachusetts Institute of Technology,USA
8,University of North Carolina at Chapel Hill,USA
9,University of Texas at Austin,USA
10,"University of California, San Diego",USA
11,University of Washington,USA
12,"Binghamton University, State University of New York",USA
13,"University of California, Los Angeles",USA
14,Columbia University,USA
15,Rice University,USA
16,Johns Hopkins University,USA
17,"University of California, Riverside",USA
18,"University of Michigan, Ann Arbor",USA
19,University of Southern California,USA
20,University of Chicago,USA
21,University of Massachusetts,USA
22,Harvard University,USA
23,California Institute of Technology,USA
24,Brown University,USA
25,West Virginia University,USA
26,University of Illinois at Urbana-Champaign,USA
27,Washington State University,USA
28,"University of Maryland, College Park",USA
29,"University of California, Santa Barbara",USA
30,Yale University,USA
31,New Jersey Institute of Technology,USA
32,University of Virginia,USA
33,Georgia Institute of Technology,USA
34,Michigan State University,USA
35,University of Pennsylvania,USA
36,"University of California, Irvine",USA
37,Stony Brook University,USA
38,Temple University,USA
39,Arizona State University,USA
40,Boston University,USA
41,"Rutgers, the State University of New Jersey",USA
42,University of Texas at San Antonio,USA
43,University of Minnesota Twin Cities,USA
44,"Northeastern University, Boston, MA",USA
45,University of Rochester,USA
46,University at Buffalo,USA
47,Lehigh University,USA
48,Duke University,USA
49,Ohio State University,USA
50,Stevens Institute of Technology,USA
51,"University of California, Santa Cruz",USA
52,Washington University in St Louis,USA
53,Pennsylvania State University,USA
54,Virginia Polytechnic Institute and State University,USA
55,Georgia State University,USA
56,University of Colorado Boulder,USA
57,Dartmouth College,USA
58,Old Dominion University,USA
59,University of Pittsburgh-Pittsburgh campus,USA
60,Florida International University,USA
61,University of Utah,USA
62,Wayne State University,USA
63,University of Notre Dame,USA
64,Vanderbilt University,USA
65,North Carolina State University,USA
66,University of Illinois at Chicago,USA
67,University of Texas at Dallas,USA
68,Syracuse University,USA
69,University of Florida,USA
70,Worcester Polytechnic Institute,USA
71,Missouri University of Science and Technology,USA
72,Indiana University,USA
73,State University of New York Albany,USA
74,University of Arizona,USA
75,University of Nebraska-Lincoln,USA
76,University of Delaware,USA
77,Florida Atlantic University,USA
78,George Washington University,USA
79,Oklahoma State University,USA
80,University of Alabama,USA
81,University of Texas at Arlington,USA
82,University of Houston,USA
83,"University of Maryland, Baltimore County",USA
84,University of Arkansas,USA
85,Florida State University,USA
86,Texas A&M University,USA
87,University of Georgia,USA
88,University of Hawai’i at Mānoa,USA
89,San Diego State University,USA
90,Rensselaer Polytechnic Institute,USA
91,Colorado State University,USA
92,University of Kentucky,USA
93,University of Connecticut,USA
94,Iowa State University,USA
95,University of South Florida,USA
96,University of Central Florida,USA
97,Mississippi State University,USA
98,George Mason University,USA
99,"University of Wisconsin, Milwaukee",USA
100,Tufts University,USA
101,University of Cincinnati,USA
102,Oregon State University,USA
103,Texas Tech University,USA
104,"University of Nevada, Las Vegas",USA
105,Louisiana State University,USA
106,Drexel University,USA
107,Rochester Institute of Technology,USA
108,Portland State University,USA
109,University of Dayton,USA
110,New Mexico State University,USA
111,University of Texas at El Paso,USA
112,University of Oxford,GBR
113,Lancaster University,GBR
114,Middlesex University,GBR
115,University of Edinburgh,GBR
116,Imperial College London,GBR
117,University of Cambridge,GBR
118,Queen’s University Belfast,GBR
119,UCL,GBR
120,Queen Mary University of London,GBR
121,King's College London,GBR
122,Durham University,GBR
123,University of Bristol,GBR
124,Northumbria University,GBR
125,De Montfort University,GBR
126,University of Exeter,GBR
127,Swansea University,GBR
128,University of Southampton,GBR
129,University of Essex,GBR
130,University of Surrey,GBR
131,"Royal Holloway, University of London",GBR
132,University of Birmingham,GBR
133,University of Leicester,GBR
134,Brunel University London,GBR
135,Newcastle University,GBR
136,University of Glasgow,GBR
137,University of Liverpool,GBR
138,University of Warwick,GBR
139,Cardiff University,GBR
140,University of Plymouth,GBR
141,University of Nottingham,GBR
142,Aston University,GBR
143,University of Manchester,GBR
144,University of Sussex,GBR
145,Heriot-Watt University,GBR
146,The Open University,GBR
147,University of Kent,GBR
148,University of Aberdeen,GBR
149,Liverpool John Moores University,GBR
150,University of St Andrews,GBR
151,University of Huddersfield,GBR
152,University of Strathclyde,GBR
153,"City, University of London",GBR
154,University of Leeds,GBR
155,University of York,GBR
156,Coventry University,GBR
157,Loughborough University,GBR
158,University of Bath,GBR
159,Bournemouth University,GBR
160,University of Portsmouth,GBR
161,Ulster University,GBR
162,University of the West of England,GBR
163,University of Reading,GBR
164,University of Bradford,GBR
165,United Arab Emirates University,ARE
166,Lviv Polytechnic National University,UKR
167,Sabancı University,TUR
168,Boğaziçi University,TUR
169,Istanbul Technical University,TUR
170,Bilkent University,TUR
171,Middle East Technical University,TUR
172,University of Sfax,TUN
173,University of Monastir,TUN
174,University of Tunis El Manar,TUN
175,Mahidol University,THA
176,Chiang Mai University,THA
177,King Mongkut's University of Technology North Bangkok,THA
178,Kasetsart University,THA
179,Thammasat University,THA
180,King Mongkut’s University of Technology Thonburi,THA
181,King Mongkut’s Institute of Technology Ladkrabang,THA
182,Chulalongkorn University,THA
183,National Taiwan University of Science and Technology (Taiwan Tech),TWN
184,National Dong Hwa University,TWN
185,National Sun Yat-sen University,TWN
186,National Tsing Hua University,TWN
187,National Taiwan University,TWN
188,National Taiwan Normal University,TWN
189,National Chiao Tung University,TWN
190,National Cheng Kung University (NCKU),TWN
191,National Chung Cheng University,TWN
192,Chang Gung University,TWN
193,Feng Chia University,TWN
194,National Taiwan Ocean University,TWN
195,Yuan Ze University,TWN
196,National Central University,TWN
197,"Asia University, Taiwan",TWN
198,National University of Kaohsiung,TWN
199,Chung Yuan Christian University,TWN
200,National Chung Hsing University,TWN
201,National Chengchi University,TWN
202,Chaoyang University of Technology,TWN
203,Tamkang University,TWN
204,ETH Zurich,CHE
205,University of Zurich,CHE
206,École Polytechnique Fédérale de Lausanne,CHE
207,University of Geneva,CHE
208,University of Bern,CHE
209,Linköping University,SWE
210,KTH Royal Institute of Technology,SWE
211,Stockholm University,SWE
212,Chalmers University of Technology,SWE
213,Uppsala University,SWE
214,Umeå University,SWE
215,University of Gothenburg,SWE
216,University of Jaén,ESP
217,Open University of Catalonia,ESP
218,University of Granada,ESP
219,University of Seville,ESP
220,Polytechnic University of Catalonia,ESP
221,University of Rovira i Virgili,ESP
222,Autonomous University of Barcelona,ESP
223,Universidad Carlos III de Madrid,ESP
224,University of Murcia,ESP
225,University of Vigo,ESP
226,Autonomous University of Madrid,ESP
227,Polytechnic University of Valencia,ESP
228,University of Alcalá,ESP
229,University of the Basque Country,ESP
230,University of Oviedo,ESP
231,University of A Coruña,ESP
232,Technical University of Madrid,ESP
233,University of Salamanca,ESP
234,Jaume I University,ESP
235,University of Castilla-La Mancha,ESP
236,University of Valencia,ESP
237,University of Alicante,ESP
238,University of Santiago de Compostela,ESP
239,University Rey Juan Carlos,ESP
240,Complutense University of Madrid,ESP
241,Yeungnam University,KOR
242,Sejong University,KOR
243,Kyung Hee University,KOR
244,Seoul National University,KOR
245,Ulsan National Institute of Science and Technology,KOR
246,Korea University,KOR
247,Korea Advanced Institute of Science and Technology (KAIST),KOR
248,Chung-Ang University,KOR
249,Sungkyunkwan University (SKKU),KOR
250,Kyungpook National University,KOR
251,Sogang University,KOR
252,Yonsei University (Seoul campus),KOR
253,Hanyang University,KOR
254,University of Ulsan,KOR
255,Pusan National University,KOR
256,Seoul National University of Science and Technology (SeoulTech),KOR
257,Konkuk University,KOR
258,Chonbuk National University,KOR
259,Inha University,KOR
260,Chonnam National University,KOR
261,Chungnam National University,KOR
262,University of Pretoria,ZAF
263,Stellenbosch University,ZAF
264,University of Cape Town,ZAF
265,University of the Witwatersrand,ZAF
266,University of KwaZulu-Natal,ZAF
267,University of Johannesburg,ZAF
268,University of South Africa,ZAF
269,University of Maribor,SVN
270,University of Ljubljana,SVN
271,Technical University of Košice,SVK
272,Slovak University of Technology in Bratislava,SVK
273,"Nanyang Technological University, Singapore",SGP
274,National University of Singapore,SGP
275,University of Belgrade,SRB
276,King Abdulaziz University,SAU
277,King Saud University,SAU
278,ITMO University,RUS
